"Ecosystem","Density","Fertilizer","Inoculum","Pot_ID","Andropogon.gerardii","Asclepias.verticillata","Bouteloua.curtipendula","Brickellia.eupatorioides","Lespedeza.capitata","Panicum.virgatum","Dalea.candida","Solidago.canadensis","Sorghastrum.nutans","Geum.rossii","Artemisia.scopulorum","Polygonum.bistortoides","Carex.scopulorum","Deschampsia.cespitosa","Erigeron.simplex","Potentilla.diversifolia","Trifolium.parryi","Trisetum.spicatum","Aristida.purpurea","Astragalus.nuttallianus","Bouteloua.eriopoda","Bouteloua.gracilis","Cryptantha.crassisepala","Gutierrezia.sarothrae","Melampodium.leucanthum","Pleraphis.jamesii","Sporobolus.flexuosus","Richness","Shannon_diversity","Evenness","Productivity"
"alpine tundra","high","X","control","4-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2702,0.724,0.1206,4.571,3.2753,0.3246,0.5312,0.6568,2.1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.69120615518786,0.769701091382374,12.6155
"alpine tundra","low","X","control","4-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2096,1.8407,0.0851,7.3236,6.6549,0.2574,0.714,0.4317,3.4398,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.55948811130257,0.709753626182901,20.9568
"alpine tundra","high","N","control","5-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3117,1.0668,0.4887,13.4642,6.6052,0.439,0.9321,0.6513,3.4244,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.47153342196631,0.669723721983078,27.3834
"alpine tundra","low","N","control","5-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4935,2.1148,0.0415,6.7974,13.8063,0.6326,0.9157,0.3734,2.8737,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.45617904184189,0.662735642438186,28.0489
"alpine tundra","high","X","control","6-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1968,0.8916,0.0515,9.3144,3.342,0.2828,0.4475,0.332,2.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.37666548369338,0.626547462600461,17.0426
"alpine tundra","low","X","control","6-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3517,1.3201,0.0506,8.7396,5.1752,0.3736,0.3762,0.5334,2.3179,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.49214355560721,0.679103798036061,19.2383
"alpine tundra","high","N","control","7-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2494,1.3265,0.2122,7.8025,6.4441,0.399,0.9463,0.3969,5.9301,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.58370830659764,0.720776712099969,23.707
"alpine tundra","low","N","control","7-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3538,1.1946,0.1258,9.1703,9.3339,0.5096,0.8988,0.4152,8.8049,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.50924642930827,0.686887651301438,30.8069
"alpine tundra","high","X","control","8-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2273,1.0299,0.0685,5.1476,4.2554,0.3679,0.5995,0.3218,3.2366,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.61903305863805,0.736853699588989,15.2545
"alpine tundra","low","X","control","8-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2479,1.7415,0,7.8604,3.2931,0.3083,0.6542,0.2676,3.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.52880650692237,0.735200522005227,17.4475
"alpine tundra","high","N","control","9-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4339,1.9876,0.0794,12.2592,4.2253,0.428,0.8404,0.7012,4.2576,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.52082924680801,0.692159218722997,25.2126
"alpine tundra","low","N","control","9-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4629,1.4868,0.0774,9.0503,15.7086,0.3226,0.6823,0.9152,4.9327,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.42282981067686,0.647557753246055,33.6388
"desert grassland","high","N","control","1-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2793,1.4341,0.1022,13.9662,10.8368,0.5259,3.2805,0.7208,44.4541,9,1.26745762942356,0.576844826194392,76.5999
"desert grassland","low","N","control","1-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2514,0.0985,0.8983,1.3152,10.9375,0.284,1.3346,6.267,91.98,9,0.800250992398691,0.364209922214172,115.3665
"desert grassland","high","X","control","10-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0834,0.2362,0.2357,1.7575,10.7791,0.757,2.4425,0.1794,53.8554,9,0.869199902152568,0.395589923359738,71.3262
"desert grassland","low","X","control","10-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1212,0,0.9272,2.391,8.9546,0.2532,2.1109,2.2396,68.71,8,0.824531626850659,0.396515896371185,86.7077
"desert grassland","high","N","control","11-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7151,0,0,2.8347,12.5752,0.7755,1.1655,1.0297,65.9461,7,0.788472779952114,0.405194854621061,85.0418
"desert grassland","low","N","control","11-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6515,0.019,0,4.2135,3.571,0.2622,1.2136,4.7241,85.1,8,0.636597649851787,0.306138757494247,99.7549
"desert grassland","high","X","control","12-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341,0.0695,0.2845,3.3976,9.9469,1.0272,1.0787,1.4532,58.32,9,0.853903790789869,0.388628363071147,75.9186
"desert grassland","low","X","control","12-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5274,0,0,2.0363,6.1287,0.6506,0.3558,2.1189,26.82,7,1.03035187223305,0.529496119198132,38.6377
"desert grassland","high","N","nitrogen","13-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7478,0.0979,0.8406,7.3413,6.3957,0.5009,1.5004,1.1966,90.5962,9,0.71363295582176,0.324788354901311,109.2174
"desert grassland","low","N","nitrogen","13-low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.546,0.6345,0.3855,7.7278,8.9197,0.1846,1.6253,2.7314,80.4,9,0.889200063017471,0.404692388838779,104.1548
"desert grassland","high","X","nitrogen","14-high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2765,0.0027,0.1586,0.4413,5.8746,0.3378,1.5577,2.0476,69.8285,9,0.567867691378675,0.258447724113446,80.5253
